HAR,40.26205,-76.87826
HAS,40.58428,-98.38753
HAV,48.55446,-109.67835
HAY,37.666,-122.09928
HAZ,31.86132,-90.39435
HBG,31.32692,-89.28646
HEM,38.70728,-91.43256
HER,39.68404,-110.85389
HFD,41.76876,-72.68131
HFY,39.32445,-77.73108
HGD,40.48367,-78.01178
HHL,42.7733,-71.08638
HIN,37.67504,-80.89223
HLD,40.43601,-99.37008
HLK,42.20416,-72.60231
HMD,30.50718,-90.46217
HMI,41.69116,-87.50651
HMW,41.56245,-87.66869
HNF,36.32608,-119.65182
HOL,26.01164,-80.16788
HOM,42.7911,-86.09655
HOP,33.66891,-93.59225
HOS,29.76724,-95.36753
HPT,35.95713,-80.0061
HUD,42.25389,-73.79773
HUN,38.41582,-82.43973
HUT,38.05571,-97.93152
IDP,39.08692,-94.42971
IND,39.76198,-86.16042
IRV,33.65677,-117.7337
JAN,32.30081,-90.19094
JAX,30.3656,-81.72389
JEF,38.57887,-92.16991
JOL,41.52465,-88.07873
JSP,31.60559,-81.88217
JST,40.32969,-78.922
JXN,42.24811,-84.39967
KAL,42.29526,-85.58402
KAN,35.49617,-80.62493
KCY,39.08458,-94.58513
KEE,41.24576,-89.92754
KEL,46.14226,-122.91302
KFS,42.22551,-121.77195
KIN,41.48396,-71.5606
KIS,28.29383,-81.40423
KKI,41.11926,-87.86543
KNG,35.18828,-114.05282
KTR,33.66388,-79.82903
KWD,38.58107,-90.40676
LAB,40.3174,-79.38508
LAF,40.41935,-86.8959
LAG,41.81563,-87.87154
LAJ,37.98825,-103.54358
LAK,28.0456,-81.95187
LAP,40.02922,-92.49338
LAU,31.69217,-89.12793
LAX,34.05618,-118.23678
LCH,30.23813,-93.21704
LCN,40.1482,-89.36305
LDB,32.35007,-108.70703
LEE,38.91262,-94.37797
LEW,40.58831,-77.58005
LEX,35.82086,-80.25156
LFT,30.22655,-92.01452
LIB,48.39484,-115.54889
LKL,28.0456,-81.95187
LMR,38.08962,-102.61857
LMY,35.48097,-105.87997
LNC,40.05418,-76.30771
LNK,40.81587,-96.71317
LNS,42.71873,-84.49596
LOD,38.1332,-121.27189
LOR,38.70814,-77.22094
LPE,43.04952,-83.30615
LPS,34.6827,-120.605
LRC,38.97117,-95.23054
LRK,34.7503,-92.28679
LSE,43.83316,-91.2473
LSV,35.59343,-105.21278
LVW,32.49403,-94.72832
LWA,47.60649,-120.64397
LYH,37.40644,-79.15693
MAC,40.46121,-90.67094
MAL,48.36048,-107.87224
MAT,39.48273,-88.37605
MAY,38.65215,-83.77107
MBY,44.01742,-73.16978
MCB,31.24447,-90.45133
MCD,37.30718,-120.4768
MCG,31.44335,-97.40476
MCK,40.19763,-100.62579
MDN,41.53938,-72.80068
MDR,37.02247,-120.07498
MDT,41.54958,-89.11792
MEI,32.36417,-88.69657
MEM,35.13246,-90.05911
MET,40.56806,-74.32958
MHL,32.55155,-94.36699
MIA,25.84955,-80.25776
MID,40.19566,-76.73648
MIN,32.66205,-95.4891
MJY,40.10916,-76.50344
MKA,42.94058,-87.92436
MKE,43.03452,-87.9171
MKS,34.25823,-90.27234
MNG,38.18074,-81.32403
MOD,37.66895,-120.91291
MOE,30.69085,-88.03829
MOT,48.23608,-101.29856
MPK,34.28476,-118.87806
MPR,44.25575,-72.60639
MRC,33.05619,-112.04759
MSP,44.94766,-93.08535
MSS,38.75008,-77.47258
MTP,40.97118,-91.55077
MTZ,38.01892,-122.13878
MVN,34.36548,-92.81402
MVW,48.41847,-122.33474
MYS,41.35093,-71.96309
NBK,40.49652,-74.44627
NBN,36.11271,-89.26226
NBU,41.79666,-86.74578
NCR,38.9481,-76.87149
NDL,34.84062,-114.60619
NEW,38.04698,-97.34489
NFK,36.84351,-76.2762
NFL,43.10991,-79.05528
NHT,42.31886,-72.62638
NHV,41.29771,-72.92667
NIB,30.00842,-91.82381
NLC,41.35427,-72.09323
NLS,41.83741,-86.25237
NOL,29.94609,-90.07829
NOR,35.21996,-97.44301
NPN,37.12233,-76.51702
NPV,41.77951,-88.1455
NRG,34.23066,-118.54542
NRK,39.66969,-75.75351
NRO,40.91145,-73.78433
NSF,35.7942,-78.70629
NWK,40.73471,-74.16475
NYF,43.07192,-76.22947
NYP,40.75104,-73.99633
OAC,37.7525,-122.19815
OKC,35.46549,-97.51275
OKE,27.25187,-80.83081
OKJ,37.79387,-122.27167
OLT,32.75527,-117.20007
OLW,46.99127,-122.79406
OMA,41.2497,-95.9272
ONA,34.06167,-117.64957
ORB,43.51433,-70.37622
ORC,45.36615,-122.59592
ORL,28.52593,-81.38152
OSB,41.30039,-72.37682
OSC,41.03712,-93.76489
OSD,33.19251,-117.37943
OTM,41.01882,-92.41493
OXN,34.19924,-119.17598
PAG,30.36785,-88.55955
PAK,29.64973,-81.64047
PAO,40.04275,-75.48376
PAR,39.95918,-75.92212
PBF,36.754,-90.39334
PCT,41.38519,-89.46681
PDX,45.52872,-122.67681
PGH,40.44474,-79.99231
PHL,39.95562,-75.18104
PHN,39.99678,-75.15511
PIC,30.52461,-89.68026
PIT,42.45156,-73.2538
PJC,40.31585,-74.62398
PLB,44.69673,-73.44628
PLO,41.66238,-88.53827
PNT,42.63277,-83.29233
POG,43.54708,-89.46763
POH,44.0423,-73.45875
